file,id,name,length
D:/download/WhatsApp Image 2020-11-29 at 12.05.22.jpeg,1,Larimichthys_Crocea,30.183217714593845
D:/download/WhatsApp Image 2020-11-29 at 12.02.51.jpeg,2,Plectropomus_leopardus,28.988255104072394
D:/download/WhatsApp Image 2020-11-29 at 12.00.12.jpeg,3,Plectropomus_leopardus,26.179915215224558
D:/download/WhatsApp Image 2020-11-23 at 17.38.25.jpeg,4,Pampus_argenteus,44.13920586296405
D:/download/WhatsApp Image 2020-11-23 at 17.37.54.jpeg,5,Plectropomus_leopardus,42.065238479907926
D:/download/WhatsApp Image 2020-11-23 at 17.37.41.jpeg,6,Larimichthys_Crocea,37.198229404393906
D:/download/WhatsApp Image 2020-11-23 at 17.37.32.jpeg,7,Pampus_argenteus,34.251794331438205
D:/download/WhatsApp Image 2020-11-23 at 17.38.09.jpeg,8,Nemipterus_virgatus,0.0
D:/download/test2.jpeg,1,Larimichthys_Crocea,63.06136558227643
D:/download/test3.jpeg,2,Plectropomus_leopardus,60.564747271008386
D:/download/test1.jpeg,3,Plectropomus_leopardus,54.697322860379884
D:/desktop/Crocea.jpg,1,Larimichthys_Crocea,30.971415062484198
D:/desktop/leopardus.jpg,2,Plectropomus_leopardus,30.87077335204039
D:/desktop/fish_market_1010/5f6a5c55e8f1bd49e900d880ffffd1f5.jpg,1,Larimichthys_Crocea,49.68019030256416
